von;bis;gu;name;plz;ort;ortsteil;samtgemeinde;bezirk;plraum
;;;An der Riede;38110;Braunschweig;Bienrode;;;Bienrode
1;2;;An der Rothenburg;38120;Braunschweig;Rothenburg;;;Rothenburg
;;;An der Schule;38116;Braunschweig;Alt-Lehndorf;;;Alt-Lehndorf
;;;An der Sporthalle;38126;Braunschweig;Mascherode;;;Mascherode
;;;An der Stadthalle;38102;Braunschweig;Viewegs Garten;;;Viewegs Garten
;;;An der Tannenriede;38108;Braunschweig;Querumer Forst;;;Querumer Forst
;;;An der Trift;38124;Braunschweig;Stöckheim;;;Stöckheim
;;;An der Veltenhöfer Str.;38110;Braunschweig;Wenden;;;Wenden
;;;An der Wabe;38104;Braunschweig;Gliesmarode;;;Gliesmarode
;;;An der Wasche;38122;Braunschweig;Geitelde;;;Geitelde
;;;An der Woort;38116;Braunschweig;Lamme;;;Lamme
1;4;;Andreeplatz;38104;Braunschweig;Prinzenpark;;;Prinzenpark
;;;Anemonenweg;38108;Braunschweig;Querumer Forst;;;Querumer Forst
1;21;U;Angerburgstr.;38108;Braunschweig;Hondelage;;;Hondelage
;;;Anklamstr.;38124;Braunschweig;Heidberg;;;Heidberg
;;;Anna-Löhr-Str.;38124;Braunschweig;Stöckheim;;;Stöckheim
;;;Arminiusstr.;38112;Braunschweig;Siegfriedviertel;;;Siegfriedviertel
1;1;;Arndtstr.;38118;Braunschweig;Wilhelmitor-Süd;;;Wilhelmitor-Süd
17;21;;Arndtstr.;38120;Braunschweig;Hermannshöhe;;;Hermannshöhe
36;38;;Arndtstr.;38118;Braunschweig;Wilhelmitor-Süd;;;Wilhelmitor-Süd
;;;Artusstr.;38112;Braunschweig;Siegfriedviertel;;;Siegfriedviertel
2;14A;;Aschenkamp;38110;Braunschweig;Wenden;;;Wenden
;;;Ascherslebenstr.;38124;Braunschweig;Heidberg;;;Heidberg
;;;Asseblick;38122;Braunschweig;Broitzem;;;Broitzem
;;;Asseweg;38124;Braunschweig;Leiferde;;;Leiferde
;;;Asternweg;38108;Braunschweig;Hondelage;;;Hondelage
;;;Auenweg;38126;Braunschweig;Südstadt;;;Südstadt
;;;Auerstr.;38112;Braunschweig;Rühme-Ost;;;Rühme-Ost
;;;Auf dem Anger;38110;Braunschweig;Bienrode;;;Bienrode
;;;Auf dem Brink;38112;Braunschweig;Schwarzer Berg;;;Schwarzer Berg
;;;Auf den Rümpen;38110;Braunschweig;Thune;;;Thune
;;;Auf der Moorhütte;38104;Braunschweig;Volkmarode;;;Volkmarode
;;;Auf der Worth;38122;Braunschweig;Rüningen;;;Rüningen
4;19;;Auguststr.;38100;Braunschweig;Altewiek;;;Altewiek
20;23;;Auguststr.;38100;Braunschweig;Stadtkern;;;Stadtkern
1;4;;Augusttorwall;38100;Braunschweig;Stadtkern;;;Stadtkern
5;5;;Augusttorwall;38100;Braunschweig;Bürgerpark;;;Bürgerpark
;;;Aurichstr.;38108;Braunschweig;Querum;;;Querum
;;;Aurikelweg;38108;Braunschweig;Hondelage;;;Hondelage
;;;Aussigstr.;38114;Braunschweig;Petritor-Nord;;;Petritor-Nord
1A;6;;Autorstr.;38102;Braunschweig;Bürgerpark;;;Bürgerpark
;;;Backhausweg;38116;Braunschweig;Lamme;;;Lamme
;;;Badetwete;38102;Braunschweig;Bürgerpark;;;Bürgerpark
1;5;;Bäckerklint;38100;Braunschweig;Stadtkern;;;Stadtkern
;;;Bäckerstieg;38124;Braunschweig;Stöckheim;;;Stöckheim
;;;Bärenkamp;38104;Braunschweig;Volkmarode;;;Volkmarode
;;;Bärwaldestr.;38126;Braunschweig;Rautheim;;;Rautheim
;;;Baeyerweg;38116;Braunschweig;Kanzlerfeld;;;Kanzlerfeld
;;;Bahnhofstr.;38124;Braunschweig;Leiferde;;;Leiferde
1A;6;;Bammelsburger Str.;38114;Braunschweig;Neustadt;;;Neustadt
7;8;;Bammelsburger Str.;38114;Braunschweig;Altes Hochschulv.;;;Altes Hochschulv.
9;16;;Bammelsburger Str.;38114;Braunschweig;Neustadt;;;Neustadt
1;5;;Bankplatz;38100;Braunschweig;Stadtkern;;;Stadtkern
6;8;;Bankplatz;38100;Braunschweig;Stadtkern;;;Stadtkern
;;;Bardowickweg;38112;Braunschweig;Hafen;;;Hafen
;;;Bartholomäustwete;38100;Braunschweig;Stadtkern;;;Stadtkern
;;;Bassestr.;38108;Braunschweig;Schuntersiedlung;;;Schuntersiedlung
;;;Baumeisterweg;38126;Braunschweig;Südstadt;;;Südstadt
;;;Bautzenstr.;38124;Braunschweig;Heidberg;;;Heidberg
;;;Bechtsbütteler Str.;38110;Braunschweig;Bevenrode;;;Bevenrode
;;;Bechtsbütteler Weg;38110;Braunschweig;Waggum;;;Waggum
;;;Beckenwerkerstr.;38100;Braunschweig;Neustadt;;;Neustadt
;;;Beckinger Str.;38116;Braunschweig;Ölper Holz;;;Ölper Holz
;;;Beckurtsstr.;38116;Braunschweig;Kanzlerfeld;;;Kanzlerfeld
;;;Beddinger Str.;38122;Braunschweig;Stiddien;;;Stiddien
3;5;;Beethovenstr.;38106;Braunschweig;Am Hagenring;;;Am Hagenring
11;16;;Beethovenstr.;38106;Braunschweig;Neues Hochschulv.;;;Neues Hochschulv.
20;22;;Beethovenstr.;38106;Braunschweig;Siegfriedviertel;;;Siegfriedviertel
28;55;;Beethovenstr.;38106;Braunschweig;Neues Hochschulv.;;;Neues Hochschulv.
56;57;;Beethovenstr.;38106;Braunschweig;Neues Hochschulv.;;;Neues Hochschulv.
58;66;;Beethovenstr.;38106;Braunschweig;Am Hagenring;;;Am Hagenring
;;;Beginekenworth;38100;Braunschweig;Hohetor;;;Hohetor
;;;Behringstr.;38126;Braunschweig;Lindenberg;;;Lindenberg
;;;Bei dem Gerichte;38114;Braunschweig;Petritor-Nord;;;Petritor-Nord
;;;Beim Friedhof;38110;Braunschweig;Wenden;;;Wenden
;;;Benzstr.;38112;Braunschweig;Hafen;;;Hafen
;;;Bergfeldstr.;38122;Braunschweig;Wilhelmitor-Süd;;;Wilhelmitor-Süd
;;;Berggarten;38108;Braunschweig;Hondelage;;;Hondelage
;;;Bergiusstr.;38116;Braunschweig;Kanzlerfeld;;;Kanzlerfeld
;;;Bergstr.;38102;Braunschweig;Prinzenpark;;;Prinzenpark
;;;Berkenbuschstr.;38122;Braunschweig;Rüningen;;;Rüningen
21A;21A;;Berliner Heerstr.;38104;Braunschweig;Volkmarode;;;Volkmarode
1;1A;;Berliner Platz;38102;Braunschweig;Hauptbahnhof;;;Hauptbahnhof
1B;1D;;Berliner Platz;38102;Braunschweig;Bürgerpark;;;Bürgerpark
2;3;;Berliner Platz;38102;Braunschweig;Bürgerpark;;;Bürgerpark
12;16;;Berliner Platz;38102;Braunschweig;Hauptbahnhof;;;Hauptbahnhof
8;19;;Berliner Str.;38104;Braunschweig;Gliesmarode;;;Gliesmarode
21;31;;Berliner Str.;38104;Braunschweig;Gliesmarode;;;Gliesmarode
44;51;;Berliner Str.;38104;Braunschweig;Pappelberg;;;Pappelberg
53D;53K;;Berliner Str.;38104;Braunschweig;Volkmarode;;;Volkmarode
54;65;;Berliner Str.;38104;Braunschweig;Pappelberg;;;Pappelberg
68;90;;Berliner Str.;38104;Braunschweig;Gliesmarode;;;Gliesmarode
;;;Bernerstr.;38106;Braunschweig;Am Hagenring;;;Am Hagenring
3;28;;Bertramstr.;38102;Braunschweig;Viewegs Garten;;;Viewegs Garten
1;5;;Besselstr.;38114;Braunschweig;Petritor-Ost;;;Petritor-Ost
;;;Beuthenstr.;38124;Braunschweig;Melverode;;;Melverode
1;15;;Bevenroder Str.;38108;Braunschweig;Gliesmarode;;;Gliesmarode
24;45B;;Bevenroder Str.;38108;Braunschweig;Querum;;;Querum
53;80;;Bevenroder Str.;38108;Braunschweig;Querumer Forst;;;Querumer Forst
118;123;;Bevenroder Str.;38108;Braunschweig;Querum;;;Querum
149;169;;Bevenroder Str.;38108;Braunschweig;Pappelberg;;;Pappelberg
;;;Bexbachweg;38116;Braunschweig;Ölper Holz;;;Ölper Holz
;;;Biberweg;38114;Braunschweig;Ölper;;;Ölper
;;;Bielitzweg;38108;Braunschweig;Hondelage;;;Hondelage
;;;Bienenstr.;38102;Braunschweig;Prinzenpark;;;Prinzenpark
1;19;U;Bienroder Str.;38110;Braunschweig;Waggum;;;Waggum
1;1;U;Bienroder Weg;38106;Braunschweig;Nordbahnhof;;;Nordbahnhof
15;28;;Bienroder Weg;38106;Braunschweig;Siegfriedviertel;;;Siegfriedviertel
52;57A;;Bienroder Weg;38108;Braunschweig;Kralenriede;;;Kralenriede
65;67;;Bienroder Weg;38108;Braunschweig;Schuntersiedlung;;;Schuntersiedlung
69;77;;Bienroder Weg;38106;Braunschweig;Siegfriedviertel;;;Siegfriedviertel
;;;Biggeweg;38120;Braunschweig;Weinberg;;;Weinberg
1;7;;Billrothstr.;38116;Braunschweig;Kanzlerfeld;;;Kanzlerfeld
;;;Bindestr.;38106;Braunschweig;Am Hagenring;;;Am Hagenring
;;;Birkenheg;38104;Braunschweig;Volkmarode;;;Volkmarode
;;;Birkenkamp;38110;Braunschweig;Harxbüttel;;;Harxbüttel
;;;Birkenring;38120;Braunschweig;Timmerlah;;;Timmerlah
;;;Birkenstr.;38104;Braunschweig;Gliesmarode;;;Gliesmarode
;;;Birkhahnweg;38108;Braunschweig;Hondelage;;;Hondelage
;;;Bischofsburgweg;38124;Braunschweig;Stöckheim;;;Stöckheim
;;;Bismarckstr.;38102;Braunschweig;Prinzenpark;;;Prinzenpark
;;;Blankenburger Str.;38124;Braunschweig;Zuckerberg;;;Zuckerberg
;;;Blasiusstr.;38114;Braunschweig;Petritor-Ost;;;Petritor-Ost
;;;Bliesstr.;38116;Braunschweig;Siedlung Lehndorf;;;Siedlung Lehndorf
;;;Blitzeichenweg;38116;Braunschweig;Ölper Holz;;;Ölper Holz
;;;Blücherstr.;38102;Braunschweig;Prinzenpark;;;Prinzenpark
;;;Blütenstieg;38116;Braunschweig;Siedlung Lehndorf;;;Siedlung Lehndorf
;;;Blumenstr.;38118;Braunschweig;Wilhelmitor-Süd;;;Wilhelmitor-Süd
;;;Blumenweg;38110;Braunschweig;Wenden;;;Wenden
;;;Boberweg;38108;Braunschweig;Kralenriede;;;Kralenriede
1;5;;Bochumer Str.;38108;Braunschweig;Querum;;;Querum
;;;Bocksbergweg;38108;Braunschweig;Dibbesdorf;;;Dibbesdorf
;;;Bockshornweg;38114;Braunschweig;Ölper;;;Ölper
;;;Bockstwete;38100;Braunschweig;Hagen;;;Hagen
;;;Bodelschwinghstr.;38108;Braunschweig;Kralenriede;;;Kralenriede
1;12;;Böcklerstr.;38102;Braunschweig;Bürgerpark;;;Bürgerpark
27;31;;Böcklerstr.;38102;Braunschweig;Bürgerpark;;;Bürgerpark
216;220;;Böcklerstr.;38102;Braunschweig;Bürgerpark;;;Bürgerpark
222;238;;Böcklerstr.;38102;Braunschweig;Bürgerpark;;;Bürgerpark
;;;Böcklinstr.;38106;Braunschweig;Am Hagenring;;;Am Hagenring
;;;Bölschestr.;38126;Braunschweig;Lindenberg;;;Lindenberg
;;;Boeselagerstr.;38108;Braunschweig;Kralenriede;;;Kralenriede
;;;Böttgerstr.;38122;Braunschweig;Rüningen;;;Rüningen
1;38;;Bohlweg;38100;Braunschweig;Stadtkern;;;Stadtkern
43;57;;Bohlweg;38100;Braunschweig;Hagen;;;Hagen
61;75;;Bohlweg;38100;Braunschweig;Altewiek;;;Altewiek
;;;Bohnenkamp;38108;Braunschweig;Querumer Forst;;;Querumer Forst
;;;Bolchentwete;38102;Braunschweig;Prinzenpark;;;Prinzenpark
;;;Bolkenhainstr.;38124;Braunschweig;Melverode;;;Melverode
;;;Bonhoefferweg;38116;Braunschweig;Kanzlerfeld;;;Kanzlerfeld
;;;Bornhardtweg;38118;Braunschweig;Petritor-West;;;Petritor-West
1;3;;Borsigstr.;38126;Braunschweig;Hauptbahnhof;;;Hauptbahnhof
7;20A;;Borsigstr.;38126;Braunschweig;Bebelhof;;;Bebelhof
;;;Bortfelder Stieg;38116;Braunschweig;Siedlung Lehndorf;;;Siedlung Lehndorf
;;;Bossengang;38114;Braunschweig;Ölper;;;Ölper
;;;Bossestr.;38104;Braunschweig;Volkmarode;;;Volkmarode
;;;Bottroper Str.;38108;Braunschweig;Querum;;;Querum
;;;Brabandtstr.;38100;Braunschweig;Stadtkern;;;Stadtkern
;;;Brackestr.;38112;Braunschweig;Rühme-Ost;;;Rühme-Ost
;;;Brahmsstr.;38106;Braunschweig;Neues Hochschulv.;;;Neues Hochschulv.
;;;Brandenburgstr.;38110;Braunschweig;Wenden;;;Wenden
;;;Brauerskamp;38124;Braunschweig;Stöckheim;;;Stöckheim
;;;Braunlager Str.;38124;Braunschweig;Zuckerberg;;;Zuckerberg
;;;Braunsbergweg;38108;Braunschweig;Hondelage;;;Hondelage
1A;21;;Braunschweiger Str.;38126;Braunschweig;Rautheim;;;Rautheim
1;1;;Braunschweiger Str.;38126;Braunschweig;Hauptbahnhof;;;Hauptbahnhof
